timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-06-19T10:47:07.303847,0.295,0.034,-1.099,0.862,0.732,0.038
2026-06-19T10:47:07.411470,0.287,0.032,-1.098,0.969,0.328,0.435
2026-06-19T10:47:07.519065,0.288,0.034,-1.099,0.816,0.442,0.076
2026-06-19T10:47:07.626713,0.289,0.031,-1.104,0.816,0.473,0.221
2026-06-19T10:47:07.734266,0.291,0.035,-1.092,0.885,0.366,0.335
2026-06-19T10:47:07.841785,0.29,0.038,-1.092,1.022,0.564,0.274
2026-06-19T10:47:07.949390,0.287,0.037,-1.095,0.916,0.496,0.305
2026-06-19T10:47:08.056809,0.291,0.032,-1.098,0.793,0.244,0.19
2026-06-19T10:47:08.164243,0.289,0.033,-1.097,1.099,0.389,0.526
2026-06-19T10:47:08.271878,0.285,0.031,-1.098,1.061,0.648,0.129
2026-06-19T10:47:08.379414,0.287,0.034,-1.103,0.702,0.229,0.244
2026-06-19T10:47:08.487022,0.291,0.031,-1.103,1.106,0.526,0.068
2026-06-19T10:47:08.594691,0.289,0.032,-1.079,0.763,0.427,0.068
2026-06-19T10:47:08.702268,0.291,0.032,-1.095,0.717,0.503,0.16
2026-06-19T10:47:08.809799,0.289,0.038,-1.096,0.969,0.465,0.328
2026-06-19T10:47:08.917383,0.29,0.035,-1.097,0.877,0.213,0.419
2026-06-19T10:47:09.024782,0.294,0.033,-1.095,1.015,0.305,0.114
2026-06-19T10:47:09.132370,0.291,0.035,-1.099,0.74,0.358,0.236
2026-06-19T10:47:09.239954,0.29,0.037,-1.097,0.671,0.351,0.335
2026-06-19T10:47:09.347526,0.29,0.034,-1.098,0.786,0.335,0.404
2026-06-19T10:47:09.455196,0.289,0.029,-1.097,0.816,0.167,0.519
2026-06-19T10:47:09.562811,0.294,0.033,-1.091,0.923,0.458,0.549
2026-06-19T10:47:09.670366,0.286,0.031,-1.099,0.763,0.557,-1.839
2026-06-19T10:47:09.778007,0.291,0.033,-1.096,0.946,0.465,0.335
2026-06-19T10:47:09.885631,0.285,0.035,-1.093,0.763,0.274,0.32
2026-06-19T10:47:09.993277,0.289,0.033,-1.09,1.122,0.328,0.312
2026-06-19T10:47:10.100671,0.29,0.029,-1.105,0.916,0.587,0.259
2026-06-19T10:47:10.208429,0.29,0.036,-1.092,0.938,0.328,0.282
2026-06-19T10:47:10.315994,0.291,0.018,-1.091,0.763,0.274,0.412
2026-06-19T10:47:10.423617,0.293,0.033,-1.109,0.946,0.282,0.244
2026-06-19T10:47:10.531238,0.291,0.034,-1.097,1.061,0.221,0.236
2026-06-19T10:47:10.638796,0.29,0.033,-1.088,0.809,0.48,0.389
2026-06-19T10:47:10.746439,0.288,0.039,-1.093,0.809,0.488,0.305
2026-06-19T10:47:10.854031,0.291,0.033,-1.091,0.9,0.496,0.114
2026-06-19T10:47:10.961640,0.293,0.032,-1.109,1.198,0.435,0.32
2026-06-19T10:47:11.069282,0.288,0.037,-1.094,0.954,0.366,0.091
2026-06-19T10:47:11.177032,0.293,0.034,-1.098,0.908,0.274,0.244
2026-06-19T10:47:11.284710,0.289,0.031,-1.095,0.809,0.435,0.076
2026-06-19T10:47:11.392322,0.29,0.029,-1.086,0.748,0.541,0.274
2026-06-19T10:47:11.499887,0.296,0.046,-1.095,0.809,0.404,0.335
2026-06-19T10:47:11.607422,0.291,0.039,-1.094,0.816,0.312,0.122
2026-06-19T10:47:11.715068,0.29,0.017,-1.092,0.877,0.549,0.213
2026-06-19T10:47:11.822684,0.296,0.034,-1.098,0.877,0.16,0.282
2026-06-19T10:47:11.930238,0.288,0.034,-1.09,0.801,0.419,0.137
